id_unidad,nivel
242,SECUNDARIA COMUNITARIA PRODUCTIVA
243,INICIAL EN FAMILIA COMUNITARIA
243,PRIMARIA COMUNITARIA VOCACIONAL
244,SECUNDARIA COMUNITARIA PRODUCTIVA
245,SECUNDARIA COMUNITARIA PRODUCTIVA
246,PRIMARIA COMUNITARIA VOCACIONAL
246,SECUNDARIA COMUNITARIA PRODUCTIVA
247,INICIAL EN FAMILIA COMUNITARIA
247,PRIMARIA COMUNITARIA VOCACIONAL
248,PRIMARIA COMUNITARIA VOCACIONAL
248,SECUNDARIA COMUNITARIA PRODUCTIVA
249,INICIAL EN FAMILIA COMUNITARIA
249,SECUNDARIA COMUNITARIA PRODUCTIVA
250,INICIAL EN FAMILIA COMUNITARIA
250,PRIMARIA COMUNITARIA VOCACIONAL
250,SECUNDARIA COMUNITARIA PRODUCTIVA
251,INICIAL EN FAMILIA COMUNITARIA
251,PRIMARIA COMUNITARIA VOCACIONAL
251,SECUNDARIA COMUNITARIA PRODUCTIVA
252,INICIAL EN FAMILIA COMUNITARIA
252,PRIMARIA COMUNITARIA VOCACIONAL
252,SECUNDARIA COMUNITARIA PRODUCTIVA
253,INICIAL EN FAMILIA COMUNITARIA
